Mu,Sigma,Skew,Shape,Shape(GIG),Realized
2008-01-31,0,0.00307177959413198,0,0,0,0.00441607210481632
2008-02-01,0,0.00311197162297357,0,0,0,-0.00107238616175298
2008-02-04,0,0.00307419338385889,0,0,0,-0.00059626738395302
2008-02-05,0,0.00303371690086652,0,0,0,0.00321562832913624
2008-02-06,0,0.00303676735812774,0,0,0,-0.000832689038775314
2008-02-07,0,0.00299839092291804,0,0,0,-0.00884538399287749
2008-02-08,0,0.00328205528429474,0,0,0,0.0047910020975328
2008-02-11,0,0.00332709246590499,0,0,0,0.00214848495153763
2008-02-12,0,0.00329906739646713,0,0,0,-0.00047704234655388
2008-02-13,0,0.00325425911983613,0,0,0,-0.00586231265545845
2008-02-14,0,0.00334493393416624,0,0,0,-0.00312462698639582
2008-02-15,0,0.00333653514272642,0,0,0,-0.000481579590333681
2008-02-19,0,0.00329111807666602,0,0,0,-0.00482859460619522
2008-02-20,0,0.00333716634423894,0,0,0,-0.00157432669513113
2008-02-21,0,0.00330055509420321,0,0,0,0.00808743619851349
2008-02-22,0,0.00350512925462108,0,0,0,-0.00530377328149978
2008-02-25,0,0.00355977012111027,0,0,0,-0.00351111202765786
2008-02-26,0,0.00355493722135208,0,0,0,0.00483969486696445
2008-02-27,0,0.003590439120738,0,0,0,0.0020497987523207
2008-02-28,0,0.00355528398497155,0,0,0,0.00600458150943606
2008-02-29,0,0.00363599340260351,0,0,0,0.00370481451543725
2008-03-03,0,0.00363396843687177,0,0,0,-0.000119296152840676
2008-03-04,0,0.00358283806275391,0,0,0,-0.0043041673335189
2008-03-05,0,0.00359968490561177,0,0,0,-0.00637059670029405
2008-03-06,0,0.00369401678158713,0,0,0,-0.00144805141750393
2008-03-07,0,0.00365643291408457,0,0,0,0.00301441115699852
2008-03-10,0,0.00363754978269026,0,0,0,0.00528339365420294
2008-03-11,0,0.00368601992256285,0,0,0,-0.00612651324645341
2008-03-12,0,0.00376573032950408,0,0,0,0.0101901019623751
2008-03-13,0,0.00405925211371597,0,0,0,-0.00430313836373131
2008-03-14,0,0.00406096289356202,0,0,0,0.00430313836373131
2008-03-17,0,0.00406262174182833,0,0,0,0.00428470067554976
2008-03-18,0,0.00406372471919497,0,0,0,-0.00237812240496815
2008-03-19,0,0.00402404037828196,0,0,0,0.00297177038915741
2008-03-20,0,0.00399549422718092,0,0,0,0.00355450611211872
2008-03-24,0,0.00398002462081411,0,0,0,-0.00735995724985283
2008-03-25,0,0.00409862746800879,0,0,0,0.00178560847395914
2008-03-26,0,0.00405033762760666,0,0,0,-0.00285850599596404
2008-03-27,0,0.00401905602613748,0,0,0,0.00035776042358826
2008-03-28,0,0.00396222517416802,0,0,0,0.00238180415088518
2008-03-31,0,0.00392468166929724,0,0,0,-0.00154752724175999
2008-04-01,0,0.00387696067974821,0,0,0,-0.00681372548292281
2008-04-02,0,0.00397647077650389,0,0,0,0.000479673830997562
2008-04-03,0,0.00392066129618005,0,0,0,0.00323179406309304
2008-04-04,0,0.00389988704482216,0,0,0,0.00500656666228938
2008-04-07,0,0.00392822415266063,0,0,0,-0.000118913134095955
2008-04-08,0,0.00387247074043,0,0,0,0
2008-04-09,0,0.00381756131673807,0,0,0,0.00439039566099098
2008-04-10,0,0.00382940921633613,0,0,0,-0.0032019001562249
2008-04-11,0,0.00381026259963205,0,0,0,0.00213573882796325
2008-04-14,0,0.00377816556678632,0,0,0,-0.00118595839327362
2008-04-15,0,0.00372878847542766,0,0,0,-0.00535428728733667
2008-04-16,0,0.00377706721548105,0,0,0,-0.00358551836259657
2008-04-17,0,0.00376814730165345,0,0,0,-0.000239492277518849
2008-04-18,0,0.00371414201376668,0,0,0,0.00263126572098926
2008-04-21,0,0.00368576591288356,0,0,0,0.000119438638541247
2008-04-22,0,0.00363295690227022,0,0,0,0.00155140552627575
2008-04-23,0,0.00358984845787624,0,0,0,-0.0010737935768983
2008-04-24,0,0.0035428732361179,0,0,0,-0.00370747300231145
2008-04-25,0,0.00354407701965574,0,0,0,-0.000959002710755996
2008-04-28,0,0.00349702766791756,0,0,0,0.00251542325841392
2008-04-29,0,0.0034714826110771,0,0,0,0.00143454896090045
2008-04-30,0,0.00343009914035146,0,0,0,0.00607397806181709
2008-05-01,0,0.00352291342211701,0,0,0,-0.00178263758657682
2008-05-02,0,0.00348482183436747,0,0,0,-0.00166666705246854
2008-05-05,0,0.00344595401139613,0,0,0,0.00047647410073548
2008-05-06,0,0.00339792613614248,0,0,0,-0.00322061470004265
2008-05-07,0,0.00339054875841624,0,0,0,0.00274414059930717
2008-05-08,0,0.0033722434664855,0,0,0,0.002617802542078
2008-05-09,0,0.00335172684214585,0,0,0,0.000356442705609972
2008-05-12,0,0.00330488511370415,0,0,0,-0.00178348540229756
2008-05-13,0,0.00327121003955739,0,0,0,-0.00560894125176237
2008-05-14,0,0.00335183469558787,0,0,0,0.0014350636282483
2008-05-15,0,0.00331272158528228,0,0,0,0.00524435051788608
2008-05-16,0,0.00337564954662434,0,0,0,-0.00238038674645757
2008-05-19,0,0.00334152817690202,0,0,0,0.00166686548892958
2008-05-20,0,0.00330614739325498,0,0,0,0.00213903824874873
2008-05-21,0,0.00327851253454455,0,0,0,-0.00142551699122073
2008-05-22,0,0.00324140807525309,0,0,0,-0.00596162490607988
2008-05-23,0,0.00333670024615667,0,0,0,0.003819531977026
2008-05-27,0,0.0033470857168706,0,0,0,-0.00561497204279959
2008-05-28,0,0.00342137891979524,0,0,0,-0.00456292818575577
2008-05-29,0,0.00345229710596125,0,0,0,-0.00277192102763379
2008-05-30,0,0.00343318678746918,0,0,0,0.00349376898968057
2008-06-02,0,0.00343153121256034,0,0,0,0.00372126952446994
2008-06-03,0,0.00343607085866947,0,0,0,0.00191525076501264
2008-06-04,0,0.00340222040359626,0,0,0,-0.00359410953564776
2008-06-05,0,0.00340416678099757,0,0,0,-0.00372753392582759
2008-06-06,0,0.00340973890919174,0,0,0,0.0056459997420566
2008-06-09,0,0.00348216865453417,0,0,0,-0.00504384400639335
2008-06-10,0,0.00352764204252499,0,0,0,-0.00531145623398821
2008-06-11,0,0.00358116437313709,0,0,0,0.00133051123347272
2008-06-12,0,0.00353751693184291,0,0,0,-0.00630534403804983
2008-06-13,0,0.00363170318768721,0,0,0,-0.0024357581157215
2008-06-16,0,0.0036020386610602,0,0,0,0.00109682541006251
2008-06-17,0,0.00355596738643726,0,0,0,0.00340467254955179
2008-06-18,0,0.00354853264296799,0,0,0,0.00423960419415703
2008-06-19,0,0.003564398751307,0,0,0,-0.00521118551906774
2008-06-20,0,0.00361254733125667,0,0,0,0.00303306268311321
2008-06-23,0,0.00359500286223035,0,0,0,-0.00133341434387901
2008-06-24,0,0.00355910775560614,0,0,0,0.00205998255215611
2008-06-25,0,0.00352509760456502,0,0,0,0.000484085692619374
2008-06-26,0,0.003476978225993,0,0,0,0.00133002861030906
2008-06-27,0,0.00343540094970911,0,0,0,0.00241371104392929
2008-06-30,0,0.00340992078305549,0,0,0,0.000482043875326355
2008-07-01,0,0.00336368535180929,0,0,0,-0.00350009409278318
2008-07-02,0,0.00336449666870085,0,0,0,-0.0012097751294009
2008-07-03,0,0.00332378016849508,0,0,0,0.00036308623696879
2008-07-07,0,0.00327857195190249,0,0,0,0.00350305365172954
2008-07-08,0,0.00328205354178544,0,0,0,0.00385125039744061
2008-07-09,0,0.00329544230515558,0,0,0,0.00383647515279151
2008-07-10,0,0.00330793841508255,0,0,0,0.000956823419488551
2008-07-11,0,0.00326607961374669,0,0,0,-0.00563449311806785
2008-07-14,0,0.00334571307708923,0,0,0,0.00144161485803185
2008-07-15,0,0.00330772569235348,0,0,0,0.00383417675562203
2008-07-16,0,0.00331974317474871,0,0,0,-0.00768311102369701
2008-07-17,0,0.00349840457985577,0,0,0,-0.0043478329361033
2008-07-18,0,0.00351965397156214,0,0,0,-0.0058266734402066
2008-07-21,0,0.00359442460541124,0,0,0,0.00522130990092506
2008-07-22,0,0.00364195471584815,0,0,0,-0.00339682481171533
2008-07-23,0,0.00363219792308927,0,0,0,0.00121447670987695
